ligne_source,fournisseur_colonne_A,dlc_ddm,produit,pu_ht,multiple_de_commande,tva,note_fournisseur
148,LES DINATOIRES DU PÈRE ROUPSARD,36 MOIS,Maquereaux en rillettes 90 grs,3.25,6/,0.055,
149,LES DINATOIRES DU PÈRE ROUPSARD,36 MOIS,Crevette mangue 90 grs,3.25,6/,0.055,
150,LES DINATOIRES DU PÈRE ROUPSARD,36 MOIS,Cabillaud fumé 90 grs,3.25,6/,0.055,
151,LES DINATOIRES DU PÈRE ROUPSARD,36 MOIS,Boudin gelée de pomme 90 grs,3.16,6/,0.055,
152,LES DINATOIRES DU PÈRE ROUPSARD,36 MOIS,Poulet caramel beurre salé 90 grs,3.16,6/,0.055,
153,LES DINATOIRES DU PÈRE ROUPSARD,36 MOIS,Andouille pommeau 90 grs,3.16,6/,0.055,
154,LES DINATOIRES DU PÈRE ROUPSARD,36 MOIS,Rillette au Chorizo 90 grs,3.16,6/,0.055,
155,LES DINATOIRES DU PÈRE ROUPSARD,36 MOIS,Camembert au chorizo 90 grs,3.16,6/,0.055,
156,LES DINATOIRES DU PÈRE ROUPSARD,36 MOIS,Brie de Meaux cernaux de noix 90 grs,3.16,6/,0.055,
157,LES DINATOIRES DU PÈRE ROUPSARD,36 MOIS,Livarot Calvados 90 grs,3.16,6/,0.055,
158,LES DINATOIRES DU PÈRE ROUPSARD,36 MOIS,Pont l'évêque échalote 90 grs,3.16,6/,0.055,
159,LES DINATOIRES DU PÈRE ROUPSARD,36 MOIS,Chèvre confit de figue 90 grs,3.16,6/,0.055,
160,LES DINATOIRES DU PÈRE ROUPSARD,36 MOIS,Bleu tomates confites 90 grs,3.16,6/,0.055,
161,LES DINATOIRES DU PÈRE ROUPSARD,36 MOIS,Neufchâtel cramberries 90 grs,3.16,6/,0.055,
162,LES DINATOIRES DU PÈRE ROUPSARD,36 MOIS,St jacques foie gras 90 grs,4,6/,0.055,
163,LES DINATOIRES DU PÈRE ROUPSARD,36 MOIS,Ris de veau cèpes 90 grs,4,6/,0.055,
164,LES DINATOIRES DU PÈRE ROUPSARD,36 MOIS,Saumon  oseille 90 grs,4,6/,0.055,
165,LES DINATOIRES DU PÈRE ROUPSARD,36 MOIS,Lotte jambon fumé 90 grs,4,6/,0.055,
166,MAISON SAINT LO,24 MOIS,Bisque de homard 480 ml,5.9,6/,0.055,
167,MAISON SAINT LO,24 MOIS,Bisque de langoustines 480 ml,5.9,6/,0.055,
168,MAISON SAINT LO,24 MOIS,Terrine de haddock fumé 150 grs,5.2,6/,0.055,
