id_tarif,id_produit,nom_produit,id_fournisseur,fournisseur,prix_achat_ht,unite_de_prix,prix_au_kg_ht,prix_hors_droits_ht,droits_accises,tva_taux,prix_achat_ttc,texte_exact_du_document,libelle_colonne_prix_source,validite,type_de_document,source,ligne_source
TAR-0062,PROD-0062,Moutarde framboise 100 gr,FOUR-0001,NORMAND DIRECT TERROIR,2.6,unité,,,,0.055,2.743,2.6,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 71
TAR-0063,PROD-0063,Confit d'oignons 100 gr,FOUR-0001,NORMAND DIRECT TERROIR,3.02,unité,,,,0.055,3.1861,3.02,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 72
TAR-0064,PROD-0064,Chutney de figue 100 gr,FOUR-0001,NORMAND DIRECT TERROIR,3.02,unité,,,,0.055,3.1861,3.02,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 73
TAR-0065,PROD-0065,Chutney de pomme 100 gr,FOUR-0001,NORMAND DIRECT TERROIR,3.02,unité,,,,0.055,3.1861,3.02,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 74
TAR-0066,PROD-0066,Riz au lait de Normandie 180 gr,FOUR-0001,NORMAND DIRECT TERROIR,2.25,unité,,,,0.055,2.3737,2.25,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 75
TAR-0067,PROD-0067,Riz au lait de Normandie Eclats caramel d'Isigny 180 gr,FOUR-0001,NORMAND DIRECT TERROIR,2.25,unité,,,,0.055,2.3737,2.25,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 76
TAR-0068,PROD-0068,Riz au lait de Normandie 120 gr,FOUR-0001,NORMAND DIRECT TERROIR,1.77,unité,,,,0.055,1.8673,1.77,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 77
TAR-0069,PROD-0069,Riz au lait de Normandie Eclats caramel d'Isigny 120 gr,FOUR-0001,NORMAND DIRECT TERROIR,1.77,unité,,,,0.055,1.8673,1.77,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 78
TAR-0070,PROD-0070,Crème aux œufs à la crème d'Isigny 180 gr,FOUR-0001,NORMAND DIRECT TERROIR,2.25,unité,,,,0.055,2.3737,2.25,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 79
TAR-0071,PROD-0071,Crème aux œufs aux éclats de caramel d'Isigny 180 gr,FOUR-0001,NORMAND DIRECT TERROIR,2.25,unité,,,,0.055,2.3737,2.25,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 80
TAR-0072,PROD-0072,Crème aux œufs à la crème d'Isigny 120 gr,FOUR-0001,NORMAND DIRECT TERROIR,1.77,unité,,,,0.055,1.8673,1.77,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 81
TAR-0073,PROD-0073,Crème aux œufs aux éclats de caramel d'Isigny 120 gr,FOUR-0001,NORMAND DIRECT TERROIR,1.77,unité,,,,0.055,1.8673,1.77,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 82
TAR-0074,PROD-0074,Boudin campagnard aux pomme 90 grs,FOUR-0001,NORMAND DIRECT TERROIR,2.18,unité,,,,0.055,2.2999,2.18,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 83
TAR-0075,PROD-0075,Terrine de faisan au Calvados 90 grs,FOUR-0001,NORMAND DIRECT TERROIR,2.6,unité,,,,0.055,2.743,2.6,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 84
TAR-0076,PROD-0076,Terrine de lièvre au Calvados 90 grs,FOUR-0001,NORMAND DIRECT TERROIR,2.6,unité,,,,0.055,2.743,2.6,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 85
TAR-0077,PROD-0077,Terrine pomme porc andouille 90 grs,FOUR-0001,NORMAND DIRECT TERROIR,2.6,unité,,,,0.055,2.743,2.6,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 86
TAR-0078,PROD-0078,Terrine de lapin au pommeau 90 grs,FOUR-0001,NORMAND DIRECT TERROIR,2.6,unité,,,,0.055,2.743,2.6,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 87
TAR-0079,PROD-0079,Terrine de canard aux pommes 90 grs,FOUR-0001,NORMAND DIRECT TERROIR,2.6,unité,,,,0.055,2.743,2.6,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 88
TAR-0080,PROD-0080,Terrine de campagne 90 grs,FOUR-0001,NORMAND DIRECT TERROIR,2.6,unité,,,,0.055,2.743,2.6,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 89
TAR-0081,PROD-0081,Terrine de campagne au cidre 90 grs,FOUR-0001,NORMAND DIRECT TERROIR,2.6,unité,,,,0.055,2.743,2.6,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 90
TAR-0082,PROD-0082,Terrine porc Livarot 90 grs,FOUR-0001,NORMAND DIRECT TERROIR,2.6,unité,,,,0.055,2.743,2.6,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 91
TAR-0083,PROD-0083,Terrine porc camembert 90 grs,FOUR-0001,NORMAND DIRECT TERROIR,2.6,unité,,,,0.055,2.743,2.6,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 92
